"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: LENGTH"
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,3720.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,3884.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,4192.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,4720.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,5528.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,7024.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,193576.652800,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,498176.000000,NaN,"ns/op",65535
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,332714,74900.506068,101.428617,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,70400.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,73088.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,76544.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,77696.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,80896.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,307200.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,321536.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,727040.000000,NaN,"ns/op",1048575
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,13380,1810092.962631,2458.667765,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,1730560.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,1787904.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,1992704.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,2029568.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,2054144.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,2254356.480000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,3350469.427200,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,3354624.000000,NaN,"ns/op",16777215
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt","sample",1,449,28720750.610245,62865.016445,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.00","sample",1,1,28409856.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.50","sample",1,1,28737536.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.90","sample",1,1,28835840.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.95","sample",1,1,28835840.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.99","sample",1,1,29245440.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.999","sample",1,1,36831232.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p0.9999","sample",1,1,36831232.000000,NaN,"ns/op",268435455
"ch.styp.SumArrayBenchmark.SumArrayNoSuperWord.arraySumScalarNoOpt:arraySumScalarNoOpt·p1.00","sample",1,1,36831232.000000,NaN,"ns/op",268435455
